N,data_type,method,iterations,warmup,cpu_threads,requested_zero_probability,nnz_a,actual_sparsity_a,h2d_ms,h2d_stdev_ms,compute_ms,compute_stdev_ms,d2h_ms,d2h_stdev_ms,total_gpu_ms,total_gpu_stdev_ms,total_wall_ms,total_wall_stdev_ms,launch_overhead_us,launch_overhead_stdev_us,setup_ms,compute_gops,end_to_end_gops,verified,max_abs_error,max_rel_error,checked_elements,device_name,compute_capability,notes
1024,int,cusparse_int_via_fp64,5,2,2,0,898739,0.142895698547,1.57206397057,0.00337693843296,8.80741767883,0.0569037722236,0.645766401291,0.00223592080953,11.0345855713,0.0571057231995,11.0425358,0.0574585653786,11.7344,1.61884163524,31.706983,243.826706795,194.613892305,1,0,0,1048576,Tesla T4,7.5,"INT32 emulation through FP64 cuSPARSE SpMM; integer values are converted to double. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
64,float,cpu_naive,5,2,2,0,4096,0,0,0,0.2266926,0.00794844305761,0,0,0,0,0.2266926,0.00794844305761,0,0,0,2.31277068594,2.31277068594,1,0,0,4096,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
64,float,cpu_blocked_mt,5,2,2,0,4096,0,0,0,0.1519116,0.0341113322906,0,0,0,0,0.1519116,0.0341113322906,0,0,0,3.45127034407,3.45127034407,1,0,0,4096,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
64,float,cuda_naive,5,2,2,0,4096,0,0.00981120020151,0.0001676263539,0.00760960001498,0.000644591613713,0.00445440001786,0.000440345884843,0.0301695998758,0.000581801845864,0.0363846,0.000602240682784,2.5864,0.075412465813,1.127389,68.8982336743,17.378022982,1,1.90734863281e-06,1.19209289551e-06,4096,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
64,float,cuda_tiled_shared,5,2,2,0,4096,0,0.0108672000468,0.00227471151538,0.00930560017005,0.00245574943138,0.00469119986519,0.00035782815801,0.0332224007696,0.00392004050142,0.0395672,0.00386475310466,3.7814,2.36561751769,0.782968,56.3411268934,15.7811593339,1,1.90734863281e-06,1.19209289551e-06,4096,Tesla T4,7.5,Native CUDA tiled kernel; 16x16 blocking and shared-memory reuse.
64,float,cublas_sgemm,5,2,2,0,4096,0,0.00995840001851,0.000329086956762,0.00951680010185,0.00261121568044,0.00824959995225,0.00163899990027,0.0363328002393,0.00401910877358,0.0436962,0.00433615061547,8.9054,0.660012302916,18.108955,55.0907862295,14.4301566779,1,2.86102294922e-06,1.60932540894e-06,4096,Tesla T4,7.5,Native cuBLAS SGEMM; pedantic FP32 math mode for reproducible verification.
64,float,cusparse_spmm_fp32,5,2,2,0,4096,0,0.0148607999086,0.000194753699739,0.0199616003782,0.000644909158242,0.00472959997132,0.000201777664381,0.0477824002504,0.000754386771738,0.0541398,0.000804024725988,8.5276,0.158422978131,6.120649,26.2648279731,10.9724081932,1,2.86102294922e-06,1.60932540894e-06,4096,Tesla T4,7.5,"Native cuSPARSE CSR-by-dense SpMM in FP32. Host dense-to-CSR conversion is reported in setup_ms, not in CUDA-event total time."
128,float,cpu_naive,5,2,2,0,16384,0,0,0,2.3643136,0.106033424835,0,0,0,0,2.3643136,0.106033424835,0,0,0,1.77400493742,1.77400493742,1,0,0,16384,Tesla T4,7.5,Native scalar triple-loop CPU implementation.
128,float,cpu_blocked_mt,5,2,2,0,16384,0,0,0,0.5565578,0.0595751993279,0,0,0,0,0.5565578,0.0595751993279,0,0,0,7.53615168092,7.53615168092,1,0,0,16384,Tesla T4,7.5,Native blocked multi-threaded CPU implementation using std::thread; no BLAS library.
128,float,cuda_naive,5,2,2,0,16384,0,0.0210559997708,0.00305300784496,0.0167487999424,0.00135562189139,0.0103551996872,2.5600194931e-05,0.0566784001887,0.00434320969033,0.0724102,0.0206615981802,4.3444,3.16626799876,1.09867,250.424150651,74.0018064384,1,2.86102294922e-06,2.26497650146e-06,16384,Tesla T4,7.5,Native CUDA one-thread-per-output-element kernel.
